feature,avg_anova_pval,avg_kw_pval,anova_sig_all,kw_sig_all,sig_folds_anova,sig_folds_kw
eeg_211,4.447557553548118e-08,4.243059481324573e-31,True,True,5,5
eeg_295,4.4639356715087814e-08,0.0001174393930287009,True,True,5,5
eeg_206,4.493529032217477e-08,1.324512720806805e-32,True,True,5,5
eeg_308,6.677241264980018e-08,4.536149211295832e-14,True,True,5,5
eeg_110,9.882473390538319e-08,6.484268246912753e-22,True,True,5,5
eeg_253,1.2097874371829107e-07,1.2316786735196546e-19,True,True,5,5
eeg_215,1.283154832908969e-07,5.813467496423438e-18,True,True,5,5
eeg_68,1.416089465770236e-07,1.7728955337939033e-09,True,True,5,5
eeg_248,1.517737217829842e-07,2.084625953362657e-13,True,True,5,5
eeg_273,1.577881071929458e-07,5.865445655641782e-10,True,True,5,5
eeg_193,2.0333429103069852e-07,7.399425956900826e-08,True,True,5,5
eeg_171,2.228323251952931e-07,4.0667380905953465e-20,True,True,5,5
eeg_303,2.2481594051904073e-07,4.1884408126126775e-14,True,True,5,5
eeg_216,2.435011370763219e-07,2.513780618790632e-26,True,True,5,5
eeg_249,2.837028563648648e-07,2.4231920511440037e-06,True,True,5,5
eeg_135,3.080113719404648e-07,2.009598185754036e-09,True,True,5,5
eeg_56,3.1956248782628684e-07,4.011686510895169e-14,True,True,5,5
eeg_243,4.548756576226379e-07,1.9621940374681437e-09,True,True,5,5
eeg_137,7.404540821256042e-07,3.3779315837515283e-07,True,True,5,5
eeg_31,9.67473405994595e-07,9.315182299081899e-18,True,True,5,5
eeg_146,9.780830270886318e-07,2.584589649834662e-20,True,True,5,5
